fiscal_year,year_month,revenue,cost,profit,revenue_plan,cost_plan,profit_plan,orders,margin_pct,revenue_var_abs,revenue_var_pct,profit_var_abs,profit_var_pct,year_month_str
2011,2011-01,675193,462344,212849,674454.0,462206.0,212248.0,362,31.52,739.0,0.11,601.0,0.28,2011-01
2011,2011-02,637598,430454,207144,644227.0,433960.0,210267.0,347,32.49,-6629.0,-1.03,-3123.0,-1.49,2011-02
2011,2011-03,708517,482113,226404,707169.0,481255.0,225914.0,397,31.95,1348.0,0.19,490.0,0.22,2011-03
2011,2011-04,698782,475181,223601,694118.0,472743.0,221375.0,403,32.0,4664.0,0.67,2226.0,1.01,2011-04
2011,2011-05,734537,499848,234689,730062.0,497349.0,232713.0,418,31.95,4475.0,0.61,1976.0,0.85,2011-05
2011,2011-06,658138,443109,215029,663999.0,445949.0,218050.0,417,32.67,-5861.0,-0.88,-3021.0,-1.39,2011-06
2011,2011-07,882219,593691,288528,880631.0,593057.0,287574.0,505,32.7,1588.0,0.18,954.0,0.33,2011-07
2011,2011-08,880037,594206,285831,881419.0,595054.0,286365.0,540,32.48,-1382.0,-0.16,-534.0,-0.19,2011-08
2011,2011-09,685754,472198,213556,691617.0,475515.0,216102.0,388,31.14,-5863.0,-0.85,-2546.0,-1.18,2011-09
2011,2011-10,696949,474442,222507,698837.0,475592.0,223245.0,452,31.93,-1888.0,-0.27,-738.0,-0.33,2011-10
2011,2011-11,574498,392527,181971,578231.0,394778.0,183453.0,367,31.67,-3733.0,-0.65,-1482.0,-0.81,2011-11
2011,2011-12,1132666,763474,369192,1140361.0,767148.0,373213.0,664,32.59,-7695.0,-0.67,-4021.0,-1.08,2011-12
2012,2012-01,671695,460414,211281,673466.0,461517.0,211949.0,376,31.45,-1771.0,-0.26,-668.0,-0.32,2012-01
2012,2012-02,642657,433544,209113,645582.0,435064.0,210518.0,342,32.54,-2925.0,-0.45,-1405.0,-0.67,2012-02
2012,2012-03,740824,505740,235084,743988.0,507683.0,236305.0,398,31.73,-3164.0,-0.43,-1221.0,-0.52,2012-03
2012,2012-04,731005,494242,236763,727946.0,492733.0,235213.0,414,32.39,3059.0,0.42,1550.0,0.66,2012-04
2012,2012-05,765660,520404,245256,767583.0,521623.0,245960.0,428,32.03,-1923.0,-0.25,-704.0,-0.29,2012-05
2012,2012-06,691871,465836,226035,694189.0,467074.0,227115.0,428,32.67,-2318.0,-0.33,-1080.0,-0.48,2012-06
2012,2012-07,863284,585090,278194,865362.0,586361.0,279001.0,506,32.23,-2078.0,-0.24,-807.0,-0.29,2012-07
2012,2012-08,927504,626896,300608,933587.0,630084.0,303503.0,562,32.41,-6083.0,-0.65,-2895.0,-0.95,2012-08
2012,2012-09,701963,481218,220745,704515.0,482459.0,222056.0,396,31.45,-2552.0,-0.36,-1311.0,-0.59,2012-09
2012,2012-10,727918,491730,236188,719961.0,487319.0,232642.0,458,32.45,7957.0,1.11,3546.0,1.52,2012-10
2012,2012-11,601501,409730,191771,596996.0,407328.0,189668.0,386,31.88,4505.0,0.75,2103.0,1.11,2012-11
2012,2012-12,1110101,749146,360955,1111152.0,750135.0,361017.0,660,32.52,-1051.0,-0.09,-62.0,-0.02,2012-12
2013,2013-01,435063,291785,143278,431660.0,289908.0,141752.0,244,32.93,3403.0,0.79,1526.0,1.08,2013-01
2013,2013-02,485405,325466,159939,487650.0,326627.0,161023.0,272,32.95,-2245.0,-0.46,-1084.0,-0.67,2013-02
2013,2013-03,466940,312233,154707,468543.0,313225.0,155318.0,272,33.13,-1603.0,-0.34,-611.0,-0.39,2013-03
2013,2013-04,476905,323102,153803,476338.0,322721.0,153617.0,294,32.25,567.0,0.12,186.0,0.12,2013-04
2013,2013-05,589689,393330,196359,586960.0,391831.0,195129.0,335,33.3,2729.0,0.46,1230.0,0.63,2013-05
2013,2013-06,534099,359020,175079,531930.0,357962.0,173968.0,321,32.78,2169.0,0.41,1111.0,0.64,2013-06
2013,2013-07,1230711,785772,444939,1230102.0,785545.0,444557.0,14177,36.15,609.0,0.05,382.0,0.09,2013-07
2013,2013-08,1763071,1011841,751230,1769463.0,1015108.0,754355.0,51614,42.61,-6392.0,-0.36,-3125.0,-0.41,2013-08
2013,2013-09,1988996,1160027,828969,1993254.0,1161922.0,831332.0,51755,41.68,-4258.0,-0.21,-2363.0,-0.28,2013-09
2013,2013-10,2041128,1199130,841998,2039750.0,1199231.0,840519.0,54358,41.25,1378.0,0.07,1479.0,0.18,2013-10
2013,2013-11,2232077,1323193,908884,2234886.0,1324642.0,910244.0,54482,40.72,-2809.0,-0.13,-1360.0,-0.15,2013-11
2013,2013-12,2995953,1795930,1200023,2998763.0,1797655.0,1201108.0,66663,40.05,-2810.0,-0.09,-1085.0,-0.09,2013-12
2014,2014-01,2003941,1179095,824846,2010388.0,1182289.0,828099.0,55079,41.16,-6447.0,-0.32,-3253.0,-0.39,2014-01
2014,2014-02,1945487,1144566,800921,1947952.0,1146010.0,801942.0,52294,41.17,-2465.0,-0.13,-1021.0,-0.13,2014-02
2014,2014-03,2108212,1235159,873053,2108025.0,1235171.0,872854.0,55412,41.41,187.0,0.01,199.0,0.02,2014-03
2014,2014-04,2204586,1288915,915671,2201917.0,1288134.0,913783.0,59110,41.53,2669.0,0.12,1888.0,0.21,2014-04
2014,2014-05,2587491,1521317,1066174,2592003.0,1523633.0,1068370.0,62661,41.2,-4512.0,-0.17,-2196.0,-0.21,2014-05
2014,2014-06,2786120,1666196,1119924,2783405.0,1665587.0,1117818.0,64254,40.2,2715.0,0.1,2106.0,0.19,2014-06
2014,2014-07,516887,253389,263498,517078.0,253527.0,263551.0,30775,50.98,-191.0,-0.04,-53.0,-0.02,2014-07
2015,2015-01,666938,447744,219194,665780.0,447015.0,218765.0,373,32.87,1158.0,0.17,429.0,0.2,2015-01
2015,2015-02,679246,458635,220611,672878.0,455091.0,217787.0,393,32.48,6368.0,0.95,2824.0,1.3,2015-02
2015,2015-03,714008,477922,236086,712079.0,476263.0,235816.0,415,33.06,1929.0,0.27,270.0,0.11,2015-03
2015,2015-04,734608,497020,237588,728736.0,493530.0,235206.0,457,32.34,5872.0,0.81,2382.0,1.01,2015-04
2015,2015-05,895043,597749,297294,901206.0,600821.0,300385.0,503,33.22,-6163.0,-0.68,-3091.0,-1.03,2015-05
2015,2015-06,786480,527616,258864,786483.0,527674.0,258809.0,467,32.91,-3.0,-0.0,55.0,0.02,2015-06
2015,2015-07,1728398,1118446,609952,1721640.0,1114769.0,606871.0,14067,35.29,6758.0,0.39,3081.0,0.51,2015-07
2015,2015-08,2140581,1264046,876535,2139961.0,1263315.0,876646.0,50403,40.95,620.0,0.03,-111.0,-0.01,2015-08
2015,2015-09,2465172,1478781,986391,2459901.0,1475707.0,984194.0,50632,40.01,5271.0,0.21,2197.0,0.22,2015-09
2015,2015-10,2529084,1528465,1000619,2538826.0,1533403.0,1005423.0,53080,39.56,-9742.0,-0.38,-4804.0,-0.48,2015-10
2015,2015-11,2836222,1730335,1105887,2835230.0,1730181.0,1105049.0,53402,38.99,992.0,0.03,838.0,0.08,2015-11
2015,2015-12,3848211,2368669,1479542,3849604.0,2369109.0,1480495.0,65325,38.45,-1393.0,-0.04,-953.0,-0.06,2015-12
2016,2016-01,2553065,1545992,1007073,2557448.0,1547805.0,1009643.0,53933,39.45,-4383.0,-0.17,-2570.0,-0.25,2016-01
2016,2016-02,2444190,1479596,964594,2451400.0,1482815.0,968585.0,51069,39.46,-7210.0,-0.29,-3991.0,-0.41,2016-02
2016,2016-03,2608663,1572131,1036532,2605838.0,1571454.0,1034384.0,54191,39.73,2825.0,0.11,2148.0,0.21,2016-03
2016,2016-04,2756864,1659571,1097293,2754521.0,1657862.0,1096659.0,57789,39.8,2343.0,0.09,634.0,0.06,2016-04
2016,2016-05,3264343,1977178,1287165,3260883.0,1974615.0,1286268.0,61370,39.43,3460.0,0.11,897.0,0.07,2016-05
2016,2016-06,3586300,2197648,1388652,3593096.0,2200738.0,1392358.0,62704,38.72,-6796.0,-0.19,-3706.0,-0.27,2016-06
2016,2016-07,499960,245321,254639,501128.0,245620.0,255508.0,29757,50.93,-1168.0,-0.23,-869.0,-0.34,2016-07
