fiscal_year,quarter,year_month,Umsatz_Ist,Kosten_Ist,Ergebnis_Ist,Umsatz_Plan,Kosten_Plan,Ergebnis_Plan,Bestellmenge,Bruttomarge_Ist_pct,Bruttomarge_Plan_pct,Umsatz_Abw_abs,Umsatz_Abw_pct,Ergebnis_Abw_abs,Ergebnis_Abw_pct,RAG_Umsatz,RAG_Ergebnis,year_month_str,ARAP_Aktiv,PRAP_Passiv,Ergebnis_bereinigt,Kommentar_DE,Kommentar_EN
2011,Q1,2011-01,675193,462344,212849,674454.0,462206.0,212248.0,362,31.52,31.47,739.0,0.11,601.0,0.28,🟡 Amber,🟡 Amber,2011-01,33760.0,13870.0,192959.0,2011-01: Umsatz plankonform (Abw. +0.1%). Kein Handlungsbedarf.,2011-01: Revenue within plan (var. +0.1%). No action required.
2011,Q1,2011-02,637598,430454,207144,644227.0,433960.0,210267.0,347,32.49,32.64,-6629.0,-1.03,-3123.0,-1.49,🟡 Amber,🟡 Amber,2011-02,31880.0,12914.0,188178.0,2011-02: Umsatz plankonform (Abw. -1.0%). Kein Handlungsbedarf.,2011-02: Revenue within plan (var. -1.0%). No action required.
2011,Q1,2011-03,708517,482113,226404,707169.0,481255.0,225914.0,397,31.95,31.95,1348.0,0.19,490.0,0.22,🟡 Amber,🟡 Amber,2011-03,35426.0,14463.0,205441.0,2011-03: Umsatz plankonform (Abw. +0.2%). Kein Handlungsbedarf.,2011-03: Revenue within plan (var. +0.2%). No action required.
2011,Q2,2011-04,698782,475181,223601,694118.0,472743.0,221375.0,403,32.0,31.89,4664.0,0.67,2226.0,1.01,🟡 Amber,🟡 Amber,2011-04,34939.0,14255.0,202917.0,2011-04: Umsatz plankonform (Abw. +0.7%). Kein Handlungsbedarf.,2011-04: Revenue within plan (var. +0.7%). No action required.
2011,Q2,2011-05,734537,499848,234689,730062.0,497349.0,232713.0,418,31.95,31.88,4475.0,0.61,1976.0,0.85,🟡 Amber,🟡 Amber,2011-05,36727.0,14995.0,212957.0,2011-05: Umsatz plankonform (Abw. +0.6%). Kein Handlungsbedarf.,2011-05: Revenue within plan (var. +0.6%). No action required.
2011,Q2,2011-06,658138,443109,215029,663999.0,445949.0,218050.0,417,32.67,32.84,-5861.0,-0.88,-3021.0,-1.39,🟡 Amber,🟡 Amber,2011-06,32907.0,13293.0,195415.0,2011-06: Umsatz plankonform (Abw. -0.9%). Kein Handlungsbedarf.,2011-06: Revenue within plan (var. -0.9%). No action required.
2011,Q3,2011-07,882219,593691,288528,880631.0,593057.0,287574.0,505,32.7,32.66,1588.0,0.18,954.0,0.33,🟡 Amber,🟡 Amber,2011-07,44111.0,17811.0,262228.0,2011-07: Umsatz plankonform (Abw. +0.2%). Kein Handlungsbedarf.,2011-07: Revenue within plan (var. +0.2%). No action required.
2011,Q3,2011-08,880037,594206,285831,881419.0,595054.0,286365.0,540,32.48,32.49,-1382.0,-0.16,-534.0,-0.19,🟡 Amber,🟡 Amber,2011-08,44002.0,17826.0,259655.0,2011-08: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2011-08: Revenue within plan (var. -0.2%). No action required.
2011,Q3,2011-09,685754,472198,213556,691617.0,475515.0,216102.0,388,31.14,31.25,-5863.0,-0.85,-2546.0,-1.18,🟡 Amber,🟡 Amber,2011-09,34288.0,14166.0,193434.0,2011-09: Umsatz plankonform (Abw. -0.8%). Kein Handlungsbedarf.,2011-09: Revenue within plan (var. -0.8%). No action required.
2011,Q4,2011-10,696949,474442,222507,698837.0,475592.0,223245.0,452,31.93,31.95,-1888.0,-0.27,-738.0,-0.33,🟡 Amber,🟡 Amber,2011-10,34847.0,14233.0,201893.0,2011-10: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2011-10: Revenue within plan (var. -0.3%). No action required.
2011,Q4,2011-11,574498,392527,181971,578231.0,394778.0,183453.0,367,31.67,31.73,-3733.0,-0.65,-1482.0,-0.81,🟡 Amber,🟡 Amber,2011-11,28725.0,11776.0,165022.0,2011-11: Umsatz plankonform (Abw. -0.7%). Kein Handlungsbedarf.,2011-11: Revenue within plan (var. -0.7%). No action required.
2011,Q4,2011-12,1132666,763474,369192,1140361.0,767148.0,373213.0,664,32.59,32.73,-7695.0,-0.67,-4021.0,-1.08,🟡 Amber,🟡 Amber,2011-12,56633.0,22904.0,335463.0,2011-12: Umsatz plankonform (Abw. -0.7%). Kein Handlungsbedarf.,2011-12: Revenue within plan (var. -0.7%). No action required.
2012,Q1,2012-01,671695,460414,211281,673466.0,461517.0,211949.0,376,31.45,31.47,-1771.0,-0.26,-668.0,-0.32,🟡 Amber,🟡 Amber,2012-01,33585.0,13812.0,191508.0,2012-01: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2012-01: Revenue within plan (var. -0.3%). No action required.
2012,Q1,2012-02,642657,433544,209113,645582.0,435064.0,210518.0,342,32.54,32.61,-2925.0,-0.45,-1405.0,-0.67,🟡 Amber,🟡 Amber,2012-02,32133.0,13006.0,189986.0,2012-02: Umsatz plankonform (Abw. -0.5%). Kein Handlungsbedarf.,2012-02: Revenue within plan (var. -0.5%). No action required.
2012,Q1,2012-03,740824,505740,235084,743988.0,507683.0,236305.0,398,31.73,31.76,-3164.0,-0.43,-1221.0,-0.52,🟡 Amber,🟡 Amber,2012-03,37041.0,15172.0,213215.0,2012-03: Umsatz plankonform (Abw. -0.4%). Kein Handlungsbedarf.,2012-03: Revenue within plan (var. -0.4%). No action required.
2012,Q2,2012-04,731005,494242,236763,727946.0,492733.0,235213.0,414,32.39,32.31,3059.0,0.42,1550.0,0.66,🟡 Amber,🟡 Amber,2012-04,36550.0,14827.0,215040.0,2012-04: Umsatz plankonform (Abw. +0.4%). Kein Handlungsbedarf.,2012-04: Revenue within plan (var. +0.4%). No action required.
2012,Q2,2012-05,765660,520404,245256,767583.0,521623.0,245960.0,428,32.03,32.04,-1923.0,-0.25,-704.0,-0.29,🟡 Amber,🟡 Amber,2012-05,38283.0,15612.0,222585.0,2012-05: Umsatz plankonform (Abw. -0.2%). Kein Handlungsbedarf.,2012-05: Revenue within plan (var. -0.2%). No action required.
2012,Q2,2012-06,691871,465836,226035,694189.0,467074.0,227115.0,428,32.67,32.72,-2318.0,-0.33,-1080.0,-0.48,🟡 Amber,🟡 Amber,2012-06,34594.0,13975.0,205416.0,2012-06: Umsatz plankonform (Abw. -0.3%). Kein Handlungsbedarf.,2012-06: Revenue within plan (var. -0.3%). No action required.
