fiscal_year,year_month,product_category,country,revenue_plan,cost_plan,profit_plan,margin_plan_pct
2011,2011-01,Bikes,Australia,193213.0,137387.0,55826.0,0.2889
2011,2011-01,Bikes,Canada,51327.0,31734.0,19593.0,0.3817
2011,2011-01,Bikes,France,54889.0,40476.0,14413.0,0.2626
2011,2011-01,Bikes,Germany,25579.0,16687.0,8892.0,0.3476
2011,2011-01,Bikes,United Kingdom,60463.0,38186.0,22277.0,0.3684
2011,2011-01,Bikes,United States,288983.0,197736.0,91247.0,0.3158
2011,2011-02,Bikes,Australia,176509.0,131625.0,44884.0,0.2543
2011,2011-02,Bikes,Canada,182966.0,112455.0,70511.0,0.3854
2011,2011-02,Bikes,France,50793.0,34927.0,15866.0,0.3124
2011,2011-02,Bikes,Germany,76572.0,49921.0,26651.0,0.3481
2011,2011-02,Bikes,United Kingdom,53049.0,33615.0,19434.0,0.3663
2011,2011-02,Bikes,United States,104338.0,71417.0,32921.0,0.3155
2011,2011-03,Bikes,Australia,210772.0,152729.0,58043.0,0.2754
2011,2011-03,Bikes,Canada,35366.0,21788.0,13578.0,0.3839
2011,2011-03,Bikes,France,66182.0,46946.0,19236.0,0.2907
2011,2011-03,Bikes,Germany,63853.0,42702.0,21151.0,0.3312
2011,2011-03,Bikes,United Kingdom,27794.0,17850.0,9944.0,0.3578
2011,2011-03,Bikes,United States,303202.0,199240.0,103962.0,0.3429
2011,2011-04,Bikes,Australia,216636.0,155849.0,60787.0,0.2806
2011,2011-04,Bikes,Canada,70475.0,43868.0,26607.0,0.3775
2011,2011-04,Bikes,France,41415.0,28544.0,12871.0,0.3108
2011,2011-04,Bikes,Germany,72229.0,48108.0,24121.0,0.334
2011,2011-04,Bikes,United Kingdom,34254.0,21634.0,12620.0,0.3684
2011,2011-04,Bikes,United States,259109.0,174740.0,84369.0,0.3256
2011,2011-05,Bikes,Australia,205531.0,146363.0,59168.0,0.2879
2011,2011-05,Bikes,Canada,42063.0,25965.0,16098.0,0.3827
2011,2011-05,Bikes,France,56908.0,41244.0,15664.0,0.2753
2011,2011-05,Bikes,Germany,52627.0,36777.0,15850.0,0.3012
2011,2011-05,Bikes,United Kingdom,31574.0,19549.0,12025.0,0.3809
2011,2011-05,Bikes,United States,341359.0,227451.0,113908.0,0.3337
2011,2011-06,Bikes,Australia,135057.0,95445.0,39612.0,0.2933
2011,2011-06,Bikes,Canada,65895.0,40692.0,25203.0,0.3825
2011,2011-06,Bikes,France,53272.0,39221.0,14051.0,0.2638
2011,2011-06,Bikes,Germany,61871.0,42648.0,19223.0,0.3107
2011,2011-06,Bikes,United Kingdom,47667.0,30427.0,17240.0,0.3617
2011,2011-06,Bikes,United States,300237.0,197516.0,102721.0,0.3421
2011,2011-07,Bikes,Australia,189511.0,133479.0,56032.0,0.2957
2011,2011-07,Bikes,Canada,112699.0,68954.0,43745.0,0.3882
2011,2011-07,Bikes,France,79355.0,55396.0,23959.0,0.3019
2011,2011-07,Bikes,Germany,68451.0,48199.0,20252.0,0.2959
2011,2011-07,Bikes,United Kingdom,77711.0,48839.0,28872.0,0.3715
2011,2011-07,Bikes,United States,352904.0,238190.0,114714.0,0.3251
2011,2011-08,Bikes,Australia,192672.0,138954.0,53718.0,0.2788
2011,2011-08,Bikes,Canada,95796.0,60048.0,35748.0,0.3732
2011,2011-08,Bikes,France,94509.0,65635.0,28874.0,0.3055
2011,2011-08,Bikes,Germany,60556.0,42043.0,18513.0,0.3057
2011,2011-08,Bikes,United Kingdom,111655.0,71356.0,40299.0,0.3609
