product_key,product_category,category_de,sub_category,margin_target
1,Accessories,Zubehör,Bike Racks,0.55
2,Accessories,Zubehör,Bike Stands,0.55
3,Accessories,Zubehör,Bottles and Cages,0.55
4,Accessories,Zubehör,Cleaners,0.55
5,Accessories,Zubehör,Fenders,0.55
6,Accessories,Zubehör,Helmets,0.55
7,Accessories,Zubehör,Hydration Packs,0.55
8,Accessories,Zubehör,Tires and Tubes,0.55
9,Bikes,Fahrräder,Mountain Bikes,0.35
10,Bikes,Fahrräder,Road Bikes,0.35
11,Bikes,Fahrräder,Touring Bikes,0.35
12,Clothing,Bekleidung,Caps,0.4
13,Clothing,Bekleidung,Gloves,0.4
14,Clothing,Bekleidung,Jerseys,0.4
15,Clothing,Bekleidung,Shorts,0.4
16,Clothing,Bekleidung,Socks,0.4
17,Clothing,Bekleidung,Vests,0.4
