date,year_month,fiscal_year,quarter,month_num,month_name_de,month_name_en,country,land_de,product_category,sub_category,order_quantity,unit_cost,unit_price,cost,revenue,profit,gross_margin_pct,revenue_plan,cost_plan,profit_plan,revenue_var_abs,revenue_var_pct
2013-11-26,2013-11,2013,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,8,45,120,360,950,590,62.11,921.0,351.0,570.0,29.0,0.0315
2015-11-26,2015-11,2015,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,8,45,120,360,950,590,62.11,1053.0,391.0,662.0,-103.0,-0.0978
2014-03-23,2014-03,2014,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,23,45,120,1035,2401,1366,56.89,2535.0,1081.0,1454.0,-134.0,-0.0529
2016-03-23,2016-03,2016,Q1,3,März,March,Australia,Australien,Accessories,Bike Racks,20,45,120,900,2088,1188,56.9,2137.0,917.0,1220.0,-49.0,-0.0229
2014-05-15,2014-05,2014,Q2,5,Mai,May,Australia,Australien,Accessories,Bike Racks,4,45,120,180,418,238,56.94,383.0,168.0,215.0,35.0,0.0914
2016-05-15,2016-05,2016,Q2,5,Mai,May,Australia,Australien,Accessories,Bike Racks,5,45,120,225,522,297,56.9,479.0,210.0,269.0,43.0,0.0898
2014-05-22,2014-05,2014,Q2,5,Mai,May,Australia,Australien,Accessories,Bike Racks,4,45,120,180,379,199,52.51,339.0,165.0,174.0,40.0,0.118
2016-05-22,2016-05,2016,Q2,5,Mai,May,Australia,Australien,Accessories,Bike Racks,2,45,120,90,190,100,52.63,207.0,96.0,111.0,-17.0,-0.0821
2014-02-22,2014-02,2014,Q1,2,Februar,February,Australia,Australien,Accessories,Bike Racks,22,45,120,990,2086,1096,52.54,2137.0,1009.0,1128.0,-51.0,-0.0239
2016-02-22,2016-02,2016,Q1,2,Februar,February,Australia,Australien,Accessories,Bike Racks,21,45,120,945,1991,1046,52.54,2090.0,983.0,1107.0,-99.0,-0.0474
2013-07-30,2013-07,2013,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,8,45,120,360,758,398,52.51,671.0,327.0,344.0,87.0,0.1297
2015-07-30,2015-07,2015,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,8,45,120,360,758,398,52.51,843.0,392.0,451.0,-85.0,-0.1008
2013-07-15,2013-07,2013,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,7,45,120,315,664,349,52.56,717.0,335.0,382.0,-53.0,-0.0739
2015-07-15,2015-07,2015,Q3,7,Juli,July,Australia,Australien,Accessories,Bike Racks,7,45,120,315,664,349,52.56,618.0,298.0,320.0,46.0,0.0744
2013-08-02,2013-08,2013,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,5,45,120,225,594,369,62.12,549.0,211.0,338.0,45.0,0.082
2015-08-02,2015-08,2015,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,7,45,120,315,832,517,62.14,769.0,296.0,473.0,63.0,0.0819
2013-09-02,2013-09,2013,Q3,9,September,September,Canada,Kanada,Accessories,Bike Racks,2,45,120,90,238,148,62.18,227.0,87.0,140.0,11.0,0.0485
2015-09-02,2015-09,2015,Q3,9,September,September,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,120.0,45.0,75.0,-1.0,-0.0083
2014-01-22,2014-01,2014,Q1,1,Januar,January,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,117.0,44.0,73.0,2.0,0.0171
2016-01-22,2016-01,2016,Q1,1,Januar,January,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,113.0,43.0,70.0,6.0,0.0531
2014-05-17,2014-05,2014,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,6,45,120,270,713,443,62.13,732.0,276.0,456.0,-19.0,-0.026
2016-05-17,2016-05,2016,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,8,45,120,360,950,590,62.11,868.0,335.0,533.0,82.0,0.0945
2014-03-27,2014-03,2014,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,929,524,56.4,883.0,389.0,494.0,46.0,0.0521
2016-03-27,2016-03,2016,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,7,45,120,315,722,407,56.37,699.0,307.0,392.0,23.0,0.0329
2013-08-25,2013-08,2013,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,3,45,120,135,356,221,62.08,352.0,134.0,218.0,4.0,0.0114
2015-08-25,2015-08,2015,Q3,8,August,August,Canada,Kanada,Accessories,Bike Racks,1,45,120,45,119,74,62.18,127.0,47.0,80.0,-8.0,-0.063
2013-12-26,2013-12,2013,Q4,12,Dezember,December,Canada,Kanada,Accessories,Bike Racks,6,45,120,270,713,443,62.13,662.0,254.0,408.0,51.0,0.077
2015-12-26,2015-12,2015,Q4,12,Dezember,December,Canada,Kanada,Accessories,Bike Racks,5,45,120,225,594,369,62.12,596.0,226.0,370.0,-2.0,-0.0034
2014-01-02,2014-01,2014,Q1,1,Januar,January,Canada,Kanada,Accessories,Bike Racks,4,45,120,180,475,295,62.11,486.0,183.0,303.0,-11.0,-0.0226
2016-01-02,2016-01,2016,Q1,1,Januar,January,Canada,Kanada,Accessories,Bike Racks,4,45,120,180,475,295,62.11,423.0,164.0,259.0,52.0,0.1229
2014-03-13,2014-03,2014,Q1,3,März,March,Canada,Kanada,Accessories,Bike Racks,20,45,120,900,2376,1476,62.12,2437.0,919.0,1518.0,-61.0,-0.025
2016-03-13,2016-03,2016,Q1,3,März,March,Canada,Kanada,Accessories,Bike Racks,22,45,120,990,2614,1624,62.13,2407.0,927.0,1480.0,207.0,0.086
2014-05-23,2014-05,2014,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,24,45,120,1080,2851,1771,62.12,2553.0,990.0,1563.0,298.0,0.1167
2016-05-23,2016-05,2016,Q2,5,Mai,May,Canada,Kanada,Accessories,Bike Racks,23,45,120,1035,2732,1697,62.12,3026.0,1124.0,1902.0,-294.0,-0.0972
2013-07-19,2013-07,2013,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,929,524,56.4,1033.0,441.0,592.0,-104.0,-0.1007
2015-07-19,2015-07,2015,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,9,45,120,405,929,524,56.4,998.0,429.0,569.0,-69.0,-0.0691
2013-11-11,2013-11,2013,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,25,45,120,1125,2970,1845,62.12,2831.0,1083.0,1748.0,139.0,0.0491
2015-11-11,2015-11,2015,Q4,11,November,November,Canada,Kanada,Accessories,Bike Racks,23,45,120,1035,2732,1697,62.12,2468.0,955.0,1513.0,264.0,0.107
2013-07-13,2013-07,2013,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,1176,726,61.73,1228.0,466.0,762.0,-52.0,-0.0423
2015-07-13,2015-07,2015,Q3,7,Juli,July,United States,Vereinigte Staaten,Accessories,Bike Racks,10,45,120,450,1176,726,61.73,1159.0,445.0,714.0,17.0,0.0147
2014-03-31,2014-03,2014,Q1,3,März,March,United States,Vereinigte Staaten,Accessories,Bike Racks,11,45,120,495,1294,799,61.75,1177.0,459.0,718.0,117.0,0.0994
